"name","team","appHalfProjectedPoints"
"Lamar Jackson","BAL",24.1
"Jalen Hurts","PHI",20.8
"Kyren Williams","LAR",20.2
"Baker Mayfield","TB",20
"Saquon Barkley","PHI",19.9
"Josh Allen","BUF",19.8
"Joe Burrow","CIN",19.5
"JaMarr Chase","CIN",19.5
"Jayden Daniels","WAS",19.2
"Brock Purdy","SF",18.6
"Kirk Cousins","ATL",17.9
"Kyler Murray","ARI",17.9
"Bijan Robinson","ATL",17.9
"Jonathan Taylor","IND",17.8
"Sam Darnold","MIN",17.7
"Christian McCaffrey","SF",17.6
"Justin Jefferson","MIN",17.4
"Joe Mixon","HOU",17.2
"D'Andre Swift","CHI",17
"Derrick Henry","BAL",17
"Russell Wilson","PIT",16.9
"Patrick Mahomes","KC",16.6
"Aaron Rodgers","NYJ",16.4
"C.J. Stroud","HOU",16.3
"Bo Nix","DEN",16.1
"Jared Goff","DET",15.8
"Matthew Stafford","LAR",15.8
"Justin Herbert","LAC",15.8
"Garrett Wilson","NYJ",15.7
"Breece Hall","NYJ",15.6
"Tua Tagovailoa","MIA",15.3
"JK Dobbins","LAC",15.3
"Malik Nabers","NYG",15.3
"Mason Rudolph","TEN",15.2
"Alvin Kamara","NO",15.2
"De'Von Achane","MIA",15.2
"Joe Flacco","IND",14.9
"Aaron Jones","MIN",14.9
"CeeDee Lamb","DAL",14.8
"Caleb Williams","CHI",14.7
"George Kittle","SF",14.7
"Tyrone Tracy","NYG",14.4
"Daniel Jones","NYG",14.3
"Drake Maye","NE",14.3
"Jahmyr Gibbs","DET",14.2
"Derek Carr","NO",14.1
"Nico Collins","HOU",14.1
"Chase Brown","CIN",13.9
"Trevor Lawrence","JAC",13.8
"James Cook","BUF",13.8
"Cooper Kupp","LAR",13.7
"Amon-Ra St Brown","DET",13.6
"James Conner","ARI",13.4
"Kareem Hunt","KC",13.3
"Tony Pollard","TEN",13.3
"Chuba Hubbard","CAR",13.2
"Drake London","ATL",13.2
"Cooper Rush","DAL",13.1
"David Montgomery","DET",13.1
"AJ Brown","PHI",13.1
"Zay Flowers","BAL",13
"Najee Harris","PIT",12.9
"Brian Thomas Jr","JAC",12.9
"Davante Adams","NYJ",12.8
"Darnell Mooney","ATL",12.6
"Terry McLaurin","WAS",12.5
"Rhamondre Stevenson","NE",12.3
"Bryce Young","CAR",12.2
"DeVonta Smith","PHI",11.9
"Deebo Samuel","SF",11.8
"Austin Ekeler","WAS",11.6
"Puka Nacua","LAR",11.3
"Tank Dell","HOU",11.2
"Rico Dowdle","DAL",11.1
"DJ Moore","CHI",11.1
"Tyreek Hill","MIA",11
"Javonte Williams","DEN",10.9
"Bucky Irving","TB",10.7
"George Pickens","PIT",10.7
"T.J. Hockenson","MIN",10.6
"Khalil Shakir","BUF",10.5
"Cade Otton","TB",10.4
"Mark Andrews","BAL",10.2
"Jauan Jennings","SF",10.1
"Cole Kmet","CHI",10.1
"Travis Kelce","KC",10.1
"Tank Bigsby","JAC",9.9
"Ladd McConkey","LAC",9.9
"Jameson Williams","DET",9.9
"Courtland Sutton","DEN",9.8
"Josh Downs","IND",9.7
"Jordan Addison","MIN",9.3
"Dalton Kincaid","BUF",9.3
"Mike Gesicki","CIN",9.3
"Kyle Pitts","ATL",9.1
"Evan Engram","JAC",9.1
"Travis Etienne","JAC",9
"Raheem Mostert","MIA",8.9
"Keon Coleman","BUF",8.9
"Tyler Allgeier","ATL",8.8
"Rachaad White","TB",8.8
"Xavier Legette","CAR",8.8
"DeAndre Hopkins","KC",8.8
"Marvin Harrison Jr","ARI",8.8
"Darius Slayton","NYG",8.7
"Rome Odunze","CHI",8.6
"WanDale Robinson","NYG",8.6
"Rashod Bateman","BAL",8.5
"Calvin Ridley","TEN",8.4
"Diontae Johnson","BAL",8.4
"Jonnu Smith","MIA",8.4
"Jaylen Waddle","MIA",8.3
"Keenan Allen","CHI",8.3
"Trey McBride","ARI",8.3
"Devin Singletary","NYG",8.1
"Zach Ertz","WAS",8
"Michael Pittman Jr","IND",7.9
"Pat Freiermuth","PIT",7.8
"Jalen Coker","CAR",7.7
"Noah Brown","WAS",7.6
"Jordan Mason","SF",7.5
"Hunter Henry","NE",7.5
"Jalen Tolbert","DAL",7.4
"Taysom Hill","NO",7.4
"Xavier Worthy","KC",7.3
"Quentin Johnston","LAC",7.3
"Jaylen Warren","PIT",7
"Demarcus Robinson","LAR",7
"Jake Ferguson","DAL",7
"Ray-Ray McCloud","ATL",6.9
"Ray Davis","BUF",6.8
"Michael Wilson","ARI",6.8
"Alec Pierce","IND",6.8
"Theo Johnson","NYG",6.7
"Roschon Johnson","CHI",6.6
"Nick Westbrook-Ikhine","TEN",6.6
"Joshua Palmer","LAC",6.6
"Parker Washington","JAC",6.5
"Sam LaPorta","DET",6.5
"Isaiah Likely","BAL",6.5
"Cedrick Wilson","NO",6.2
"Sterling Shepard","TB",6.1
"Trey Palmer","TB",6
"Jalen Nailor","MIN",6
"Calvin Austin III","PIT",5.9
"Dalton Schultz","HOU",5.9
"Samaje Perine","KC",5.8
"Chris Rodriguez","WAS",5.8
"Demario Douglas","NE",5.8
"Ja'Tavion Sanders","CAR",5.8
"Tyler Conklin","NYJ",5.8
"Justice Hill","BAL",5.6
"Foster Moreau","NO",5.4
"Andrei Iosivas","CIN",5.3
"Ricky Pearsall","SF",5.3
"Cam Akers","MIN",5.2
"Will Dissly","LAC",5.2
"Jordan Mims","NO",5
"Emari Demercado","ARI",5
"Mason Tipton","NO",5
"KaVontae Turpin","DAL",5
"Miles Sanders","CAR",4.9
"Braelon Allen","NYJ",4.8
"Devaughn Vele","DEN",4.8
"Austin Trammell","JAC",4.8
"Kayshon Boutte","NE",4.7
"Grant Calcaterra","PHI",4.7
"Khalil Herbert",,4.6
"Jaleel McLaughlin","DEN",4.5
"Sean Tucker",,4.5
"Trenton Irwin","CIN",4.5
"Colby Parkinson","LAR",4.4
"Julius Chestnut","TEN",4.3
"David Moore","CAR",4.3
"Tim Patrick","DET",4.3
"Mack Hollins","BUF",4.3
"Olamide Zaccheaus","WAS",4.3
"Chigoziem Okonkwo","TEN",4.3
"Noah Gray","KC",4.3
"Blake Corum","LAR",4.2
"Kimani Vidal","LAC",4.2
"Justin Watson","KC",4.2
"Tyler Boyd","TEN",4.2
"Brenton Strange","JAC",4.1
"Trey Sermon","IND",4
"Kendrick Bourne","NE",4
"Jeremy McNichols",,3.9
"Troy Franklin","DEN",3.9
"Van Jefferson","PIT",3.9
"Robert Woods","HOU",3.8
"Greg Dortch","ARI",3.8
"Mike Williams","NYJ",3.8
"Mo Alie-Cox","IND",3.6
"Hayden Hurst","LAC",3.5
"Josh Whyle","TEN",3.4
"Darnell Washington","PIT",3.4
"Ryan Miller","TB",3.2
"Austin Hooper","NE",3.2
"Dawson Knox","BUF",3.2
"Antonio Gibson","NE",3.1
"Dare Ogunbowale","HOU",3.1
"Tanner Hudson","CIN",3.1
"Hunter Luepke","DAL",2.9
"Audric Estime",,2.8
"Trey Benson",,2.8
"Lucas Krull","DEN",2.8
"Brock Wright","DET",2.7
"Johnny Mundt","MIN",2.7
"Jahan Dotson","PHI",2.6
"Gerald Everett","CHI",2.6
"Adam Trautman","DEN",2.6
"Kenneth Gainwell","PHI",2.5
"Marquez Valdes-Scantling","NO",2.5
"Dalvin Cook",,2.4
"D'Ernest Johnson",,2.3
"Kylen Granson","IND",2.3
"Elijah Higgins","ARI",2.3
"Ty Johnson",,2.1
"Luke Schoonmaker","DAL",2.1
"Eric Saubert","SF",2
"Odell Beckham","MIA",1.9
"Cade Stover","HOU",1.9
"CJ Ham",,1.7
"Jeremy Ruckert","NYJ",1.7
"Daniel Bellinger","NYG",1.6
"Hunter Long","LAR",1.6
"Durham Smythe","MIA",1.6
"Ben Sinnott","WAS",1.6
"Ian Thomas","CAR",1.5
"Alec Ingold",,1.4
"JaMycal Hasty",,1.2
"Charlie Woerner","ATL",1.2
"Joshua Kelley",,1
"Jack Stoll","PHI",1
"Trayveon Williams","CIN",0.9
"Carson Steele",,0.9
"Hassan Haskins",,0.8
"Isaac Guerendo",,0.8
"","LV",0.7
"","GB",0.4
"","SEA",0
"","CLE",-0.1
